PARLIAMENTARY_CONSTITUENCY_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,PADANG BESAR,BN,BN - UMNO
P002,PERLIS,KANGAR,BN,BN - UMNO
P003,PERLIS,ARAU,BN,BN - UMNO
P004,KEDAH,LANGKAWI,BN,BN - UMNO
P005,KEDAH,JERLUN,BN,BN - UMNO
P006,KEDAH,KUBANG PASU,BN,BN - UMNO
P007,KEDAH,PADANG TERAP,BN,BN - UMNO
P008,KEDAH,POKOK SENA,BN,BN - UMNO
P009,KEDAH,ALOR STAR,BN,BN - MCA
P010,KEDAH,KUALA KEDAH,BN,BN - UMNO
P011,KEDAH,PENDANG,BA,BA - PAS
P012,KEDAH,JERAI,BN,BN - UMNO
P013,KEDAH,SIK,BN,BN - UMNO
P014,KEDAH,MERBOK,BN,BN - UMNO
P015,KEDAH,SUNGAI PETANI,BN,BN - UMNO
P016,KEDAH,BALING,BN,BN - UMNO
P017,KEDAH,PADANG SERAI,BN,BN - MCA
P018,KEDAH,KULIM-BANDAR BAHARU,BN,BN - UMNO
P019,KELANTAN,TUMPAT,BA,BA - PAS
P020,KELANTAN,PENGKALAN CHEPA,BA,BA - PAS
P021,KELANTAN,KOTA BHARU,BN,BN - UMNO
P022,KELANTAN,PASIR MAS,BA,BA - PAS
P023,KELANTAN,RANTAU PANJANG,BA,BA - PAS
P024,KELANTAN,KUBANG KERIAN,BA,BA - PAS
P025,KELANTAN,BACHOK,BN,BN - UMNO
P026,KELANTAN,KETEREH,BN,BN - UMNO
P027,KELANTAN,TANAH MERAH,BN,BN - UMNO
P028,KELANTAN,PASIR PUTEH,BA,BA - PAS
P029,KELANTAN,MACHANG,BN,BN - UMNO
P030,KELANTAN,JELI,BN,BN - UMNO
P031,KELANTAN,KUALA KRAI,BN,BN - UMNO
P032,KELANTAN,GUA MUSANG,BN,BN - UMNO
P033,TERENGGANU,BESUT,BN,BN - UMNO
P034,TERENGGANU,SETIU,BN,BN - UMNO
P035,TERENGGANU,KUALA NERUS,BN,BN - UMNO
P036,TERENGGANU,KUALA TERENGGANU,BN,BN - UMNO
P037,TERENGGANU,MARANG,BN,BN - UMNO
P038,TERENGGANU,HULU TERENGGANU,BN,BN - UMNO
P039,TERENGGANU,DUNGUN,BN,BN - UMNO
P040,TERENGGANU,KEMAMAN,BN,BN - UMNO
P041,P.PINANG,KEPALA BATAS,BN,BN - UMNO
P042,P.PINANG,TASEK GELUGOR,BN,BN - UMNO
P043,P.PINANG,BAGAN,DAP,DAP
P044,P.PINANG,PERMATANG PAUH,BA,BA - PKR
P045,P.PINANG,BUKIT MERTAJAM,DAP,DAP
P046,P.PINANG,BATU KAWAN,BN,BN - GERAKAN
P047,P.PINANG,NIBONG TEBAL,BN,BN - UMNO
P048,P.PINANG,BUKIT BENDERA,BN,BN - GERAKAN
P049,P.PINANG,TANJONG,DAP,DAP
P050,P.PINANG,JELUTONG,BN,BN - GERAKAN
P051,P.PINANG,BUKIT GELUGOR,DAP,DAP
P052,P.PINANG,BAYAN BARU,BN,BN - MCA
P053,P.PINANG,BALIK PULAU,BN,BN - UMNO
P054,PERAK,GERIK,BN,BN - UMNO
P055,PERAK,LENGGONG,BN,BN - UMNO
P056,PERAK,LARUT,BN,BN - UMNO
P057,PERAK,PARIT BUNTAR,BN,BN - UMNO
