PARLIAMENTARY_CONSTITUENCY_CODE,STATE,,PARLIAMENTARY_CONSTITUENCY_NAME,WINNING_PARTY_MAIN,WINNING_PARTY
P001,PERLIS,,PADANG BESAR,BN,BN - UMNO
P002,PERLIS,,KANGAR,PH,PH - PKR
P003,PERLIS,,ARAU,BN,BN - UMNO
P004,KEDAH,,LANGKAWI,PH,PH - PPBM
P005,KEDAH,,JERLUN,PH,PH - PPBM
P006,KEDAH,,KUBANG PASU,PH,PH - PPBM
P007,KEDAH,,PADANG TERAP,BN,BN - UMNO
P008,KEDAH,,POKOK SENA,PH,PH - AMANAH
P009,KEDAH,,ALOR SETAR,PH,PH - PKR
P010,KEDAH,,KUALA KEDAH,PH,PH - PKR
P011,KEDAH,,PENDANG,GS,GS - PAS
P012,KEDAH,,JERAI,GS,GS - PAS
P013,KEDAH,,SIK,GS,GS - PAS
P014,KEDAH,,MERBOK,PH,PH - PKR
P015,KEDAH,,SUNGAI PETANI,PH,PH - PKR
P016,KEDAH,,BALING,BN,BN - UMNO
P017,KEDAH,,PADANG SERAI,PH,PH - PKR
P018,KEDAH,,KULIM-BANDAR BAHARU,PH,PH - PKR
P019,KELANTAN,,TUMPAT,GS,GS - PAS
P020,KELANTAN,,PENGKALAN CHEPA,GS,GS - PAS
P021,KELANTAN,,KOTA BHARU,GS,GS - PAS
P022,KELANTAN,,PASIR MAS,GS,GS - PAS
P023,KELANTAN,,RANTAU PANJANG,GS,GS - PAS
P024,KELANTAN,,KUBANG KERIAN,GS,GS - PAS
P025,KELANTAN,,BACHOK,GS,GS - PAS
P026,KELANTAN,,KETEREH,BN,BN - UMNO
P027,KELANTAN,,TANAH MERAH,BN,BN - UMNO
P028,KELANTAN,,PASIR PUTEH,GS,GS - PAS
P029,KELANTAN,,MACHANG,BN,BN - UMNO
P030,KELANTAN,,JELI,BN,BN - UMNO
P031,KELANTAN,,KUALA KRAI,GS,GS - PAS
P032,KELANTAN,,GUA MUSANG,BN,BN - UMNO
P033,TERENGGANU,,BESUT,BN,BN - UMNO
P034,TERENGGANU,,SETIU,GS,GS - PAS
P035,TERENGGANU,,KUALA NERUS,GS,GS - PAS
P036,TERENGGANU,,KUALA TERENGGANU,GS,GS - PAS
P037,TERENGGANU,,MARANG,GS,GS - PAS
P038,TERENGGANU,,HULU TERENGGANU,BN,BN - UMNO
P039,TERENGGANU,,DUNGUN,GS,GS - PAS
P040,TERENGGANU,,KEMAMAN,GS,GS - PAS
P041,PULAU PINANG,,KEPALA BATAS,BN,BN - UMNO
P042,PULAU PINANG,,TASEK GELUGOR,BN,BN - UMNO
P043,PULAU PINANG,,BAGAN,PH,PH - DAP
P044,PULAU PINANG,,PERMATANG PAUH,PH,PH - PKR
P045,PULAU PINANG,,BUKIT MERTAJAM,PH,PH - DAP
P046,PULAU PINANG,,BATU KAWAN,PH,PH - DAP
P047,PULAU PINANG,,NIBONG TEBAL,PH,PH - PKR
P048,PULAU PINANG,,BUKIT BENDERA,PH,PH - DAP
P049,PULAU PINANG,,TANJONG,PH,PH - DAP
P050,PULAU PINANG,,JELUTONG,PH,PH - DAP
P051,PULAU PINANG,,BUKIT GELUGOR,PH,PH - DAP
P052,PULAU PINANG,,BAYAN BARU,PH,PH - PKR
P053,PULAU PINANG,,BALIK PULAU,PH,PH - PKR
P054,PERAK,,GERIK,BN,BN - UMNO
P055,PERAK,,LENGGONG,BN,BN - UMNO
P056,PERAK,,LARUT,BN,BN - UMNO
P057,PERAK,,PARIT BUNTAR,PH,PH - AMANAH
P058,PERAK,,BAGAN SERAI,BN,BN - UMNO
P059,PERAK,,BUKIT GANTANG,BN,BN - UMNO
P060,PERAK,,TAIPING,PH,PH - DAP
P061,PERAK,,PADANG RENGAS,BN,BN - UMNO
P062,PERAK,,SUNGAI SIPUT,PH,PH - PKR
P063,PERAK,,TAMBUN,PH,PH - PPBM
P064,PERAK,,IPOH TIMOR,PH,PH - DAP
P065,PERAK,,IPOH BARAT,PH,PH - DAP
P066,PERAK,,BATU GAJAH,PH,PH - DAP
P067,PERAK,,KUALA KANGSAR,BN,BN - UMNO
P068,PERAK,,BERUAS,PH,PH - DAP
P069,PERAK,,PARIT,BN,BN - UMNO
P070,PERAK,,KAMPAR,PH,PH - DAP
P071,PERAK,,GOPENG,PH,PH - PKR
P072,PERAK,,TAPAH,BN,BN - MIC
P073,PERAK,,PASIR SALAK,BN,BN - UMNO
P074,PERAK,,LUMUT,PH,PH - AMANAH
P075,PERAK,,BAGAN DATUK,BN,BN - UMNO
P076,PERAK,,TELUK INTAN,PH,PH - DAP
P077,PERAK,,TANJONG MALIM,PH,PH - PKR
P078,PAHANG,,CAMERON HIGHLANDS,BN,BN - MIC
P079,PAHANG,,LIPIS,BN,BN - UMNO
P080,PAHANG,,RAUB,PH,PH - DAP
P081,PAHANG,,JERANTUT,BN,BN - UMNO
P082,PAHANG,,INDERA MAHKOTA,PH,PH - PKR
P083,PAHANG,,KUANTAN,PH,PH - PKR
P084,PAHANG,,PAYA BESAR,BN,BN - UMNO
P085,PAHANG,,PEKAN,BN,BN - UMNO
P086,PAHANG,,MARAN,BN,BN - UMNO
P087,PAHANG,,KUALA KRAU,BN,BN - UMNO
P088,PAHANG,,TEMERLOH,PH,PH - AMANAH
P089,PAHANG,,BENTONG,PH,PH - DAP
P090,PAHANG,,BERA,BN,BN - UMNO
P091,PAHANG,,ROMPIN,BN,BN - UMNO
P092,SELANGOR,,SABAK BERNAM,BN,BN - UMNO
P093,SELANGOR,,SUNGAI BESAR,PH,PH - PPBM
P094,SELANGOR,,HULU SELANGOR,PH,PH - PKR
P095,SELANGOR,,TANJONG KARANG,BN,BN - UMNO
P096,SELANGOR,,KUALA SELANGOR,PH,PH - AMANAH
P097,SELANGOR,,SELAYANG,PH,PH - PKR
P098,SELANGOR,,GOMBAK,PH,PH - PKR
P099,SELANGOR,,AMPANG,PH,PH - PKR
P100,SELANGOR,,PANDAN,PH,PH - PKR
P101,SELANGOR,,HULU LANGAT,PH,PH - AMANAH
